Event.Id,Event.Date,Weather.Condition,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Make,Engine.Type,Broad.phase.of.flight,Aircraft.Category,Injury.Severity,Purpose.of.flight,Accident_Count
20120102X93914,2012-01-01,VMC,0.0,0.0,0.0,Haney John F B,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120103X02043,2012-01-01,VMC,0.0,0.0,2.0,Continental Copters Inc.,Reciprocating,Unknown,Helicopter,Non-Fatal,Aerial Observation,1
20111230X02532,2012-01-02,VMC,0.0,0.0,0.0,Mcadam W E,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120103X35104,2012-01-02,VMC,0.0,0.0,0.0,Maule,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120103X94513,2012-01-02,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120111X92548,2012-01-02,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120104X41711,2012-01-03,VMC,0.0,0.0,0.0,Butler John R,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120105X35308,2012-01-03,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120104X92439,2012-01-04,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Public Aircraft - Federal,1
20120106X15754,2012-01-05,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120110X02454,2012-01-05,VMC,0.0,0.0,0.0,Sanderson,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120106X12700,2012-01-06,VMC,0.0,0.0,0.0,Czech Sportplanes Sro,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120107X81643,2012-01-06,VMC,0.0,0.0,0.0,Robinson Helicopter,Reciprocating,Unknown,Helicopter,Non-Fatal,Instructional,1
20120108X24231,2012-01-06,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120109X03605,2012-01-06,VMC,0.0,0.0,0.0,Aviat,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120110X03902,2012-01-06,VMC,0.0,2.0,0.0,Aviat Aircraft Inc,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120108X85358,2012-01-07,VMC,0.0,0.0,0.0,Luscombe,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120110X04011,2012-01-07,VMC,0.0,0.0,0.0,Cirrus Design Corp,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120109X64751,2012-01-08,VMC,1.0,0.0,0.0,Bowers Fly Baby,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120206X15258,2012-01-08,VMC,0.0,0.0,0.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120111X05220,2012-01-11,VMC,0.0,0.0,1.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120111X72151,2012-01-11,VMC,0.0,1.0,1.0,Infinity Power Parachutes Llc,Reciprocating,Unknown,Powered Parachute,Non-Fatal,Personal,1
20120112X50946,2012-01-12,VMC,0.0,0.0,1.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120117X32259,2012-01-13,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120117X64102,2012-01-13,VMC,0.0,0.0,0.0,Mooney Aircraft Corp.,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120115X44237,2012-01-14,VMC,0.0,0.0,0.0,Evektor-Aerotechnik As,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120117X95955,2012-01-14,VMC,0.0,1.0,0.0,Aero Commander,Reciprocating,Unknown,Airplane,Non-Fatal,Positioning,1
20120115X45209,2012-01-15,IMC,2.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Fatal,Instructional,1
20120119X11221,2012-01-15,VMC,0.0,0.0,0.0,Pzl-Swidnik,Turbo Shaft,Unknown,Helicopter,Non-Fatal,Flight Test,1
20120123X44151,2012-01-15,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120116X53349,2012-01-16,VMC,1.0,0.0,0.0,Aerostar Aircraft Corporation,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120116X72519,2012-01-16,VMC,3.0,0.0,0.0,Bell,Turbo Shaft,Unknown,Helicopter,Fatal,Unknown,1
20120118X91324,2012-01-16,VMC,0.0,0.0,0.0,Boeing,Turbo Prop,Unknown,Airplane,Non-Fatal,Unknown,1
20120124X90813,2012-01-18,VMC,5.0,0.0,0.0,Bell,Turbo Shaft,Unknown,Helicopter,Fatal,Aerial Observation,1
20120119X92431,2012-01-19,VMC,2.0,0.0,0.0,Robinson,Reciprocating,Unknown,Helicopter,Fatal,Personal,1
20120119X93241,2012-01-19,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120123X91012,2012-01-19,VMC,0.0,0.0,0.0,M-Squared Aircraft,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120120X01941,2012-01-21,IMC,1.0,0.0,0.0,Aero Vodochody,Turbo Jet,Unknown,Airplane,Fatal,Personal,1
20120209X13451,2012-01-21,VMC,0.0,0.0,0.0,"Arrow Falcon Exporters, Inc.",Turbo Shaft,Unknown,Helicopter,Non-Fatal,Aerial Application,1
20120124X00309,2012-01-21,VMC,0.0,0.0,0.0,Robinson Helicopter Company,Reciprocating,Unknown,Helicopter,Non-Fatal,External Load,1
20120123X05459,2012-01-22,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120123X64755,2012-01-22,VMC,0.0,0.0,0.0,Bell,Turbo Shaft,Unknown,Helicopter,Non-Fatal,Unknown,1
20120124X10943,2012-01-22,VMC,2.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120123X91729,2012-01-23,IMC,1.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120126X25043,2012-01-23,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Unknown,1
20120125X52113,2012-01-24,VMC,0.0,0.0,0.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Executive/Corporate,1
20120125X31012,2012-01-24,VMC,0.0,1.0,0.0,Mas Events,Reciprocating,Unknown,Airplane,Non-Fatal,Flight Test,1
20120126X92124,2012-01-25,VMC,0.0,1.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120123X05407,2012-01-26,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120127X41441,2012-01-26,VMC,0.0,0.0,0.0,Helio,Reciprocating,Unknown,Airplane,Non-Fatal,Positioning,1
20120127X53748,2012-01-26,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120127X31738,2012-01-27,VMC,1.0,0.0,1.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120201X13617,2012-01-27,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120128X41941,2012-01-28,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120129X84717,2012-01-28,VMC,0.0,1.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120130X32358,2012-01-28,VMC,0.0,2.0,0.0,Schweizer,Unknown,Unknown,Glider,Non-Fatal,Instructional,1
20120130X60836,2012-01-28,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120202X81145,2012-01-28,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Other Work Use,1
20120320X94818,2012-01-28,VMC,0.0,1.0,0.0,Aero Commander,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120129X34027,2012-01-29,VMC,1.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120131X41208,2012-01-29,VMC,0.0,0.0,0.0,Remos Aircraft Gmbh,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120130X33824,2012-01-30,VMC,1.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120130X41812,2012-01-30,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120131X75454,2012-01-30,VMC,0.0,0.0,0.0,Gulfstream,Turbo Fan,Unknown,Airplane,Non-Fatal,Positioning,1
20120131X20200,2012-01-31,VMC,0.0,1.0,1.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120202X55741,2012-02-01,VMC,0.0,0.0,0.0,Beech,Turbo Prop,Unknown,Airplane,Non-Fatal,Unknown,1
20120202X30140,2012-02-02,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120203X02350,2012-02-02,VMC,0.0,0.0,0.0,Bellanca,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120203X61713,2012-02-02,VMC,0.0,0.0,2.0,Antonov,Turbo Fan,Unknown,Airplane,Non-Fatal,Unknown,1
20120217X91848,2012-02-03,VMC,0.0,0.0,0.0,Embraer,Turbo Fan,Unknown,Airplane,Non-Fatal,Executive/Corporate,1
20120203X23028,2012-02-03,VMC,1.0,0.0,0.0,Garza,Turbo Prop,Unknown,Airplane,Fatal,Personal,1
20120203X74411,2012-02-03,VMC,0.0,1.0,1.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120208X05132,2012-02-03,IMC,0.0,0.0,0.0,Gates Lear Jet,Turbo Fan,Unknown,Airplane,Non-Fatal,Personal,1
20120204X03117,2012-02-04,IMC,2.0,0.0,2.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120204X70647,2012-02-04,VMC,0.0,3.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120206X13727,2012-02-04,VMC,1.0,0.0,0.0,Pipistrel,Reciprocating,Unknown,Glider,Fatal,Personal,1
20120207X34555,2012-02-04,VMC,0.0,0.0,0.0,Bombardier,Turbo Fan,Unknown,Airplane,Non-Fatal,Unknown,1
20120207X54430,2012-02-04,VMC,0.0,0.0,0.0,Alon,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120215X03549,2012-02-04,VMC,0.0,1.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120206X10841,2012-02-05,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120214X84853,2012-02-05,VMC,0.0,0.0,0.0,Rockwell International,Turbo Prop,Unknown,Airplane,Non-Fatal,Other Work Use,1
20120205X10150,2012-02-06,VMC,1.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120206X63147,2012-02-06,VMC,0.0,0.0,1.0,Moore Byron J,Reciprocating,Unknown,Glider,Non-Fatal,Personal,1
20120221X04526,2012-02-06,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120208X70838,2012-02-07,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120208X91002,2012-02-07,VMC,0.0,0.0,0.0,Aeropro Cz,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120209X54747,2012-02-08,VMC,1.0,0.0,0.0,Varga Aircraft Corp.,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120217X04436,2012-02-08,VMC,0.0,0.0,0.0,Maule,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120209X14823,2012-02-09,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120209X51439,2012-02-09,VMC,1.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120210X35329,2012-02-09,IMC,2.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Other Work Use,1
20120210X20307,2012-02-10,VMC,0.0,3.0,0.0,Socata,Turbo Prop,Unknown,Airplane,Non-Fatal,Personal,1
20120210X44432,2012-02-10,VMC,1.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120214X42025,2012-02-10,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120214X94937,2012-02-10,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120211X73938,2012-02-11,VMC,0.0,2.0,0.0,Schweizer,Reciprocating,Unknown,Helicopter,Non-Fatal,Instructional,1
20120211X92417,2012-02-11,VMC,0.0,0.0,0.0,Learjet Inc,Turbo Fan,Unknown,Airplane,Non-Fatal,Unknown,1
20120212X70015,2012-02-12,VMC,0.0,1.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120213X25540,2012-02-12,VMC,0.0,0.0,0.0,Rockwell International,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120214X33057,2012-02-13,VMC,0.0,0.0,0.0,Robinson Helicopter,Reciprocating,Unknown,Helicopter,Non-Fatal,Instructional,1
20120221X03231,2012-02-13,UNK,0.0,0.0,0.0,Mcdonnell Douglas,Turbo Fan,Unknown,Airplane,Unknown,Unknown,1
20120306X71346,2012-02-13,VMC,0.0,0.0,0.0,Zenair Ltd,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120214X10923,2012-02-14,VMC,0.0,0.0,0.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Flight Test,1
20120215X12041,2012-02-14,VMC,2.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120215X32300,2012-02-14,IMC,0.0,0.0,1.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120220X95359,2012-02-14,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120221X43006,2012-02-14,VMC,0.0,0.0,0.0,Rockwell International,Turbo Prop,Unknown,Airplane,Non-Fatal,Other Work Use,1
20120215X03230,2012-02-15,VMC,3.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120216X03340,2012-02-15,VMC,1.0,0.0,2.0,Bell,Turbo Shaft,Unknown,Helicopter,Fatal,Public Aircraft - Local,1
20120216X25013,2012-02-15,VMC,0.0,2.0,0.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120217X44044,2012-02-16,VMC,0.0,0.0,0.0,Embraer,Turbo Prop,Unknown,Airplane,Non-Fatal,Unknown,1
20120221X93826,2012-02-16,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120217X95311,2012-02-17,VMC,0.0,0.0,0.0,Mooney,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120218X65637,2012-02-17,VMC,0.0,1.0,1.0,Mooney Airplane Co Inc,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120220X10646,2012-02-17,VMC,0.0,0.0,2.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120221X25729,2012-02-17,VMC,0.0,0.0,0.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120222X92352,2012-02-17,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120419X11425,2012-02-17,VMC,0.0,0.0,0.0,Lindstrand,Unknown,Unknown,Balloon,Non-Fatal,Other Work Use,1
20120218X81416,2012-02-18,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120220X95734,2012-02-18,VMC,0.0,0.0,0.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120221X23544,2012-02-18,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120221X42237,2012-02-18,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120402X33507,2012-02-18,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120628X03954,2012-02-18,VMC,1.0,0.0,0.0,Unknown,Unknown,Unknown,Helicopter,Fatal,Personal,1
20120219X83653,2012-02-19,IMC,2.0,0.0,4.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120221X70432,2012-02-19,VMC,1.0,0.0,0.0,Crain Jac A,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120221X91634,2012-02-19,VMC,0.0,0.0,0.0,Aeronca,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120301X73555,2012-02-19,VMC,0.0,0.0,0.0,Aviat Aircraft Inc,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120306X40037,2012-02-19,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120220X14409,2012-02-20,VMC,0.0,0.0,0.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120220X20738,2012-02-20,VMC,0.0,0.0,0.0,Enstrom,Reciprocating,Unknown,Helicopter,Non-Fatal,Instructional,1
20120221X23717,2012-02-20,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120314X51611,2012-02-20,VMC,0.0,0.0,0.0,Burkhart Grob,Unknown,Unknown,Glider,Non-Fatal,Instructional,1
20120215X93423,2012-02-21,VMC,2.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120221X84549,2012-02-21,VMC,0.0,0.0,0.0,Haycraft,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120223X00341,2012-02-21,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120305X25243,2012-02-21,VMC,0.0,0.0,1.0,Bell,Turbo Shaft,Unknown,Helicopter,Non-Fatal,Unknown,1
20120222X64112,2012-02-22,VMC,0.0,0.0,1.0,Texas Helicopter Corp,Reciprocating,Unknown,Helicopter,Non-Fatal,Aerial Application,1
20120314X23608,2012-02-23,VMC,2.0,0.0,0.0,Cessna,Unknown,Unknown,Airplane,Fatal,Unknown,1
20120229X70237,2012-02-23,VMC,0.0,1.0,1.0,Boeing,Turbo Fan,Unknown,Airplane,Non-Fatal,Unknown,1
20120224X40139,2012-02-24,VMC,0.0,0.0,1.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120225X71947,2012-02-24,VMC,2.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120301X35342,2012-02-24,IMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120302X22622,2012-02-24,IMC,0.0,0.0,1.0,Airbus,Turbo Fan,Unknown,Airplane,Non-Fatal,Unknown,1
20120225X83831,2012-02-25,VMC,0.0,0.0,0.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Unknown,1
20120226X05751,2012-02-25,VMC,0.0,0.0,0.0,Eurocopter,Turbo Shaft,Unknown,Helicopter,Non-Fatal,Positioning,1
20120228X91509,2012-02-25,VMC,0.0,0.0,0.0,Piper,Turbo Prop,Unknown,Airplane,Non-Fatal,Flight Test,1
20120229X13404,2012-02-25,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120302X14904,2012-02-25,VMC,1.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Unknown,1
20120226X01048,2012-02-26,VMC,2.0,0.0,0.0,Mooney,Reciprocating,Unknown,Airplane,Fatal,Positioning,1
20120227X01448,2012-02-26,VMC,2.0,0.0,0.0,Strout Frank,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120302X00956,2012-02-26,UNK,0.0,0.0,1.0,Boeing,Turbo Fan,Unknown,Airplane,Non-Fatal,Unknown,1
20120228X04141,2012-02-27,VMC,0.0,1.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Business,1
20120302X82430,2012-02-28,VMC,1.0,0.0,0.0,Cessna,Turbo Prop,Unknown,Airplane,Fatal,Positioning,1
20120229X12019,2012-02-29,VMC,3.0,0.0,0.0,Cirrus Design Corp,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120217X34147,2012-03-01,VMC,0.0,2.0,0.0,Bell,Turbo Shaft,Unknown,Helicopter,Non-Fatal,Business,1
20120301X02918,2012-03-01,VMC,0.0,0.0,0.0,Lester Robert E,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120301X15130,2012-03-01,VMC,2.0,0.0,0.0,Hemp Timothy,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120301X44915,2012-03-01,VMC,0.0,0.0,0.0,Bell,Turbo Shaft,Unknown,Helicopter,Non-Fatal,Instructional,1
20120302X74637,2012-03-01,VMC,0.0,0.0,0.0,Eurocopter,Turbo Shaft,Unknown,Helicopter,Non-Fatal,Public Aircraft - State,1
20120307X80412,2012-03-01,VMC,1.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120302X81859,2012-03-02,VMC,0.0,0.0,0.0,Siai-Marchetti,Turbo Prop,Unknown,Airplane,Non-Fatal,Personal,1
20120303X31233,2012-03-02,IMC,2.0,0.0,0.0,Cessna Aircraft Co,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120303X71045,2012-03-02,VMC,0.0,1.0,1.0,American Champion Aircraft,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120326X20654,2012-03-02,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120303X93401,2012-03-03,VMC,0.0,0.0,2.0,Mooney,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120305X03358,2012-03-03,VMC,1.0,0.0,0.0,Skeeter,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120410X01241,2012-03-03,VMC,0.0,0.0,1.0,Bombardier Inc,Turbo Fan,Unknown,Airplane,Non-Fatal,Unknown,1
20120308X54424,2012-03-03,VMC,0.0,0.0,0.0,Aerospatiale,Turbo Shaft,Unknown,Helicopter,Non-Fatal,External Load,1
20120305X03128,2012-03-04,VMC,0.0,0.0,1.0,Bowers Fly Baby,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120306X91216,2012-03-04,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120309X50005,2012-03-04,VMC,0.0,0.0,0.0,American Champion Aircraft,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120313X32233,2012-03-04,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120306X22101,2012-03-05,VMC,1.0,0.0,1.0,Bellanca,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120308X25331,2012-03-05,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120308X94202,2012-03-05,VMC,0.0,0.0,0.0,Sikorsky Aircraft Corporation,Reciprocating,Unknown,Helicopter,Non-Fatal,Personal,1
20120306X11830,2012-03-06,VMC,0.0,0.0,0.0,Bombardier Learjet Corp.,Turbo Fan,Unknown,Airplane,Non-Fatal,Unknown,1
20120306X15005,2012-03-06,VMC,0.0,3.0,0.0,Bell,Turbo Shaft,Unknown,Helicopter,Non-Fatal,Instructional,1
20120307X13644,2012-03-06,IMC,1.0,0.0,0.0,Israel Aircraft Industries,Turbo Jet,Unknown,Airplane,Fatal,Public Aircraft - Federal,1
20120307X14949,2012-03-06,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120309X70038,2012-03-07,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Executive/Corporate,1
20120308X05028,2012-03-07,VMC,0.0,0.0,0.0,Air Tractor Inc,Turbo Prop,Unknown,Airplane,Non-Fatal,Aerial Application,1
20120308X42230,2012-03-07,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120225X84350,2012-03-08,VMC,0.0,0.0,0.0,Robinson Helicopter,Reciprocating,Unknown,Helicopter,Non-Fatal,Instructional,1
20120308X63616,2012-03-08,VMC,0.0,1.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120308X85231,2012-03-08,VMC,0.0,0.0,0.0,Quicksilver,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120319X92038,2012-03-08,UNK,0.0,0.0,0.0,Gulfstream Aerospace,Unknown,Unknown,Airplane,Unknown,Business,1
20120309X04504,2012-03-09,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120309X22913,2012-03-09,VMC,0.0,0.0,0.0,Cirrus Design Corp,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120316X94235,2012-03-09,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Business,1
20120313X30702,2012-03-10,VMC,0.0,1.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120311X02621,2012-03-11,VMC,0.0,0.0,0.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120312X53017,2012-03-11,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120313X43536,2012-03-11,VMC,0.0,0.0,0.0,Hughes,Turbo Shaft,Unknown,Helicopter,Non-Fatal,Unknown,1
20120312X02049,2012-03-12,VMC,0.0,2.0,0.0,Stinson,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120320X01012,2012-03-12,VMC,0.0,0.0,0.0,Diamond Aircraft Ind Inc,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120320X90348,2012-03-12,VMC,0.0,0.0,0.0,Bell,Turbo Shaft,Unknown,Helicopter,Non-Fatal,Business,1
20120314X33326,2012-03-13,VMC,1.0,0.0,0.0,Brice Ron,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120314X70339,2012-03-13,IMC,0.0,1.0,1.0,Dehavilland,Reciprocating,Unknown,Airplane,Non-Fatal,Unknown,1
20120314X71745,2012-03-13,VMC,0.0,1.0,0.0,Cook,Reciprocating,Unknown,Airplane,Non-Fatal,Ferry,1
20120315X25642,2012-03-13,VMC,0.0,0.0,1.0,Michael S/Michael K,Reciprocating,Unknown,Helicopter,Non-Fatal,Personal,1
20120314X00429,2012-03-14,VMC,0.0,0.0,1.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120316X31834,2012-03-14,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Skydiving,1
20120320X55912,2012-03-14,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
